#! FIELDS phi1 psi1 file.free der_phi1 der_psi1
#! SET min_phi1 -pi
#! SET max_phi1 pi
#! SET nbins_phi1  89
#! SET periodic_phi1 true
#! SET min_psi1 -pi
#! SET max_psi1 pi
#! SET nbins_psi1  89
#! SET periodic_psi1 true
   -3.141592654   -3.141592654 -124.333601634  -14.175884665   -8.921403893
   -3.070995066   -3.141592654 -125.919839632  -30.084291300  -14.982807002
   -3.000397478   -3.141592654 -128.479254991  -41.426735927  -19.670702631
   -2.929799890   -3.141592654 -131.631425996  -46.739374268  -22.462214411
   -2.859202303   -3.141592654 -134.975618858  -47.316771621  -23.705214569
   -2.788604715   -3.141592654 -138.254761641  -45.318009608  -23.186863110
   -2.718007127   -3.141592654 -141.375085193  -43.249733971  -21.711007233
   -2.647409540   -3.141592654 -144.371028460  -41.696017696  -19.324473550
   -2.576811952   -3.141592654 -147.269386794  -40.359249238  -16.629586208
   -2.506214364   -3.141592654 -150.039533615  -38.086516916  -13.855601562
   -2.435616776   -3.141592654 -152.607216336  -34.496490114  -12.024912915
   -2.365019189   -3.141592654 -154.900612073  -30.511677019  -10.597233771
   -2.294421601   -3.141592654 -156.895979385  -26.214909087   -9.258711315
   -2.223824013   -3.141592654 -158.622421537  -22.679551035   -7.835194842
   -2.153226425   -3.141592654 -160.112640746  -19.689198318   -6.341660112
   -2.082628838   -3.141592654 -161.406703866  -17.112720331   -4.970714378
   -2.012031250   -3.141592654 -162.525083391  -14.575194377   -3.778134312
   -1.941433662   -3.141592654 -163.449215040  -11.392162821   -2.935928911
   -1.870836075   -3.141592654 -164.107070660   -6.989423482   -2.298401554
   -1.800238487   -3.141592654 -164.392045533   -0.834205283   -1.476930908
   -1.729640899   -3.141592654 -164.185624723    6.770464883   -0.055269666
   -1.659043311   -3.141592654 -163.391543423   16.032588066    2.235682476
   -1.588445724   -3.141592654 -161.919740789   25.772129394    5.376460278
   -1.517848136   -3.141592654 -159.756759793   35.539022539    8.906435509
   -1.447250548   -3.141592654 -156.911610351   44.924883500   12.801510077
   -1.376652961   -3.141592654 -153.406247180   54.332533028   16.394611987
   -1.306055373   -3.141592654 -149.278672646   62.415048154   19.588219144
   -1.235457785   -3.141592654 -144.624667590   69.021368148   22.341376546
   -1.164860197   -3.141592654 -139.589249863   73.150889853   24.543879937
   -1.094262610   -3.141592654 -134.363140329   74.401683264   26.030385065
   -1.023665022   -3.141592654 -129.150500147   72.921473455   26.480579383
   -0.953067434   -3.141592654 -124.117334178   69.445479704   26.181089328
   -0.882469847   -3.141592654 -119.395162838   63.964571709   24.727931870
   -0.811872259   -3.141592654 -115.124827012   56.667997082   21.989812948
   -0.741274671   -3.141592654 -111.457395832   46.778431104   18.080272278
   -0.670677083   -3.141592654 -108.570900995   34.664399775   13.259597146
   -0.600079496   -3.141592654 -106.599946255   21.058920656    7.835057779
   -0.529481908   -3.141592654 -105.594932584    7.426669881    2.042996301
   -0.458884320   -3.141592654 -105.518364306   -5.003849191   -3.555646860
   -0.388286732   -3.141592654 -106.263399492  -15.802431072   -8.608999502
   -0.317689145   -3.141592654 -107.706860744  -25.006270755  -12.768029876
   -0.247091557   -3.141592654 -109.747099381  -32.609650317  -16.069201098
   -0.176493969   -3.141592654 -112.289585260  -39.091946896  -18.567615162
   -0.105896382   -3.141592654 -115.233868797  -44.003865086  -20.318055853
   -0.035298794   -3.141592654 -118.462510996  -47.326467158  -21.485601184
    0.035298794   -3.141592654 -121.884172223  -49.402380210  -21.836030924
    0.105896382   -3.141592654 -125.427602591  -50.850430628  -21.719473341
    0.176493969   -3.141592654 -129.048086191  -51.645988876  -20.876987758
    0.247091557   -3.141592654 -132.693963987  -51.439681154  -19.224363964
    0.317689145   -3.141592654 -136.292023440  -50.401401940  -17.575863134
    0.388286732   -3.141592654 -139.781717011  -48.226328018  -15.726053279
    0.458884320   -3.141592654 -143.085421402  -45.361167675  -13.979350136
    0.529481908   -3.141592654 -146.192851021  -42.541743999  -12.249925995
    0.600079496   -3.141592654 -149.101971080  -39.974946849  -10.655871735
    0.670677083   -3.141592654 -151.825354216  -37.060385727   -8.973545548
    0.741274671   -3.141592654 -154.322510179  -33.500267044   -7.214257720
    0.811872259   -3.141592654 -156.515876696  -28.419671064   -5.554748064
    0.882469847   -3.141592654 -158.308872479  -22.236248649   -4.113185237
    0.953067434   -3.141592654 -159.630854448  -15.208952597   -2.470401130
    1.023665022   -3.141592654 -160.463637605   -8.453812136   -0.843401250
    1.094262610   -3.141592654 -160.831828231   -2.215453490    0.883451095
    1.164860197   -3.141592654 -160.789899455    3.302978669    2.519697931
    1.235457785   -3.141592654 -160.393208621    7.786263124    3.980449516
    1.306055373   -3.141592654 -159.709387280   11.428276270    5.375141647
    1.376652961   -3.141592654 -158.800747079   14.258475337    6.489155690
    1.447250548   -3.141592654 -157.729594019   16.068273371    7.247080970
    1.517848136   -3.141592654 -156.537693765   17.613495019    7.858877895
    1.588445724   -3.141592654 -155.237634935   19.314285153    8.518155421
    1.659043311   -3.141592654 -153.827954884   20.503657975    8.954876059
    1.729640899   -3.141592654 -152.366548938   20.737200374    9.179262903
    1.800238487   -3.141592654 -150.938588753   19.642353633    9.302268011
    1.870836075   -3.141592654 -149.620482329   17.671425728    9.072582686
    1.941433662   -3.141592654 -148.448757036   15.608449668    8.624023422
    2.012031250   -3.141592654 -147.388894685   14.650874263    7.913448372
    2.082628838   -3.141592654 -146.355146309   14.780275662    7.111510011
    2.153226425   -3.141592654 -145.288536360   15.590878236    6.467852352
    2.223824013   -3.141592654 -144.148783349   16.733188889    6.324330804
    2.294421601   -3.141592654 -142.923751902   18.085597274    7.008990213
    2.365019189   -3.141592654 -141.569631231   20.326164035    7.864965666
    2.435616776   -3.141592654 -140.054144111   22.740516717    8.588001773
    2.506214364   -3.141592654 -138.371648548   24.817452451    8.727319924
    2.576811952   -3.141592654 -136.550215920   26.605624741    8.390209053
    2.647409540   -3.141592654 -134.611331525   28.234698764    8.096110680
    2.718007127   -3.141592654 -132.567158671   29.613995302    8.326297675
    2.788604715   -3.141592654 -130.436185199   30.714260412    8.903666303
    2.859202303   -3.141592654 -128.261604317   30.417182072    8.886154364
    2.929799890   -3.141592654 -126.233263774   26.354743137    7.174445538
    3.000397478   -3.141592654 -124.667450603   17.168069627    3.363467584
    3.070995066   -3.141592654 -123.939236701    2.714805580   -2.370279679

   -3.141592654   -3.070995066 -125.021625587  -20.682865379  -10.557119462
   -3.070995066   -3.070995066 -127.017373136  -35.201731436  -16.135042095
   -3.000397478   -3.070995066 -129.869126467  -44.555301220  -19.636681101
   -2.929799890   -3.070995066 -133.172183566  -48.073328354  -21.014084636
   -2.859202303   -3.070995066 -136.554006285  -47.126251218  -20.985960573
   -2.788604715   -3.070995066 -139.785110379  -44.253288392  -19.967445911
   -2.718007127   -3.070995066 -142.798043831  -41.321313130  -18.366605501
   -2.647409540   -3.070995066 -145.635679747  -39.142661368  -16.387306274
   -2.576811952   -3.070995066 -148.342673284  -37.483737635  -13.818263855
   -2.506214364   -3.070995066 -150.924492309  -35.405462188  -10.989932519
   -2.435616776   -3.070995066 -153.334099144  -32.701776732   -8.592489792
   -2.365019189   -3.070995066 -155.514072740  -29.002642470   -6.777425736
   -2.294421601   -3.070995066 -157.420547760  -25.119537831   -5.560103680
   -2.223824013   -3.070995066 -159.058795113  -21.432748262   -4.389219283
   -2.153226425   -3.070995066 -160.464329321  -18.438774948   -3.562145661
   -2.082628838   -3.070995066 -161.673652824  -15.942040463   -2.581389777
   -2.012031250   -3.070995066 -162.720828295  -13.646536810   -1.726978163
   -1.941433662   -3.070995066 -163.583379569  -10.615122628   -0.911373871
   -1.870836075   -3.070995066 -164.190177408   -6.211233636   -0.108212653
   -1.800238487   -3.070995066 -164.404667566    0.504481275    1.168287936
   -1.729640899   -3.070995066 -164.082797385    8.817948008    3.027854677
   -1.659043311   -3.070995066 -163.118142911   18.661285264    5.494513838
   -1.588445724   -3.070995066 -161.434212248   29.080836533    8.607935593
   -1.517848136   -3.070995066 -159.016267810   39.368235873   12.142087808
   -1.447250548   -3.070995066 -155.895820289   48.889391182   16.015486363
   -1.376652961   -3.070995066 -152.124530922   57.742800332   19.921248825
   -1.306055373   -3.070995066 -147.769270116   65.397248068   23.212697261
   -1.235457785   -3.070995066 -142.923791309   71.468738142   25.904959344
   -1.164860197   -3.070995066 -137.748006464   74.698146798   27.694595449
   -1.094262610   -3.070995066 -132.437113626   75.121615457   28.652843218
   -1.023665022   -3.070995066 -127.196549216   72.834627825   28.821282591
   -0.953067434   -3.070995066 -122.205942721   68.191642322   27.936109489
   -0.882469847   -3.070995066 -117.621470506   61.275759005   25.521924505
   -0.811872259   -3.070995066 -113.585684847   52.599562027   21.524177680
   -0.741274671   -3.070995066 -110.244616395   41.711999566   16.240522972
   -0.670677083   -3.070995066 -107.736758599   28.946522565   10.410005514
   -0.600079496   -3.070995066 -106.169192225   15.447758851    4.572559103
